ID,Date,AirPressure_22m_hPa,AccumulatedPrecipitation_mm,WindSpeed_22m_ms,WindSpeed_16.3m_ms,WindSpeed_12.3m_ms,WindSpeed_2.3m_ms,WindDirection_22m_deg,AirHumidity_22m_percent,AirHumidity_16.3m_percent,AirHumidity_12.3m_percent,AirHumidity_8.1m_percent,AirHumidity_2.3m_percent,AirHumidity_0.9m_percent,AirTemperature_22m_degC,AirTemperature_16.3m_degC,AirTemperature_12.3m_degC,AirTemperature_8.1m_degC,AirTemperature_2.3m_degC,AirTemperature_0.9m_degC,VPD_22m_hPa,VPD_16.3m_hPa,VPD_12.3m_hPa,VPD_8.1m_hPa,VPD_2.3m_hPa,VPD_0.9m_hPa,PAR_incoming_22m_umol_m2_s1,PAR_reflected_22m_umol_m2_s1,ShortWaveRadiation_incoming_22m_Wm2,ShortWaveRadiation_reflected_22m_Wm2,LongWaveRadiation_downwelling_22m_Wm2,LongWaveRadiation_upwelling_22m_Wm2,GlobalRadiation_22m_Wm2,DiffuseRadiation_22m_Wm2,Fraction_of_DiffuseRadiation,SunshineDuration_minutes_per_12hours,SoilTemperature_30cm_degC,SoilTemperature_60cm_degC,SoilTemperature_100cm_degC,SoilMoisture_30cm_percent,SoilMoisture_60cm_percent,SoilMoisture_100cm_percent,NEE_umol_m2_s1,LatentHeatFlux_Wm2,SensibleHeatFlux_Wm2,GroundHeatFlux_Wm2,Year,Month,Day,season,CO2_concentration,Amax_umol_m2_s1,ET_ETpot_FINAL__neg1_1,ET_ETpot_FINAL_0_1
208,26/09/2014,1004.469444,0.1,0.955145833,0.830854167,0.660034722,0.171222222,191.0611111,84.01666667,85.27222222,78.55208333,91.04444444,91.53402778,91.62847222,26.69375,26.74236111,28.49930556,26.19861111,26.05486111,25.91666667,6.601862835,6.165876681,10.057652,3.729163211,3.374579929,3.288482628,412.1186875,16.23110417,204.5918681,31.74684397,-35.8720625,-8.888048611,186.3063819,145.2949583,0.936721724,NA,27.10277778,27.3162037,27.23402778,29.18032407,29.08587963,27.8037037,-2.096298952,119.1639313,14.38829792,NA,2014,9,26,haze_non_enzo,403.7163769,-27.8,NA,NA
209,27/09/2014,1004.678472,0,1.495375,1.274006944,0.980597222,0.244541667,155.1305556,82.75277778,84.96388889,78.59444444,91.53333333,91.76111111,91.62083333,26.65625,26.62083333,28.08263889,26.12222222,25.98263889,25.85833333,6.613255273,5.885429656,9.22834674,3.476310478,3.242343405,3.247522238,392.1298195,16.33679861,205.9638403,37.82549612,-40.85004167,-7.4799375,174.8760694,164.2095486,0.982160816,NA,27.30555556,27.44675926,27.27083333,28.81527778,28.77685185,27.28287037,-2.389631727,123.2391313,12.80962646,NA,2014,9,27,haze_non_enzo,401.1112434,-48.76,NA,NA
210,28/09/2014,1003.3625,0,1.710791667,1.440895833,1.101729167,0.265041667,157.38125,77.66458333,80.23125,74.79375,86.66875,87.30069444,87.23472222,27.00902778,26.88611111,28.25208333,26.44791667,26.2,26.06458333,9.137229609,8.227693612,11.47667033,5.722169653,5.197367519,5.136941248,495.3393056,18.4565625,251.6465417,42.07654815,-51.07582639,-9.036930555,223.8927153,142.6737778,0.890893038,NA,27.34282407,27.51203704,27.32175926,28.48402778,28.54884259,26.75578704,-2.53690364,152.0457288,10.56471875,NA,2014,9,28,haze_non_enzo,402.572637,-26.45,NA,NA
211,29/09/2014,1002.742361,0,1.598145833,1.354541667,1.029604167,0.233006945,155.2465278,79.26666667,81.55,76.42986111,89.60833333,90.33819444,90.09930556,26.92013889,26.85902778,28.01944444,26.16388889,25.98819444,25.86805556,8.147003935,7.334917433,9.998672797,4.268893868,3.814281797,3.84812131,401.4234167,16.10656944,205.1031319,33.99326241,-44.2676875,-7.391159722,175.5048403,150.8591667,0.962763935,NA,27.42314815,27.56805556,27.34050926,28.14722222,28.40578704,26.37662037,-2.702370473,124.6240375,4.851335208,NA,2014,9,29,haze_non_enzo,405.3919927,-34.1,NA,NA
212,30/09/2014,1002.840972,0,1.545430556,1.274729167,0.945715278,0.2168125,147.6951389,77.10902778,79.61319444,73.87361111,86.96111111,87.82986111,87.65833333,27.54375,27.44444444,28.83472222,26.87916667,26.59166667,26.46180556,9.575458335,8.635888299,11.99195967,5.704605561,5.086402795,5.081648003,523.3940903,19.4223125,257.2768889,39.00014583,-52.01795139,-9.397916667,235.2840347,139.67575,0.867710394,NA,27.48541667,27.61273148,27.40925926,27.87291667,28.27708333,26.25810185,-2.557613844,149.0182917,11.0390875,NA,2014,9,30,haze_non_enzo,407.4179273,-29.13,NA,NA
213,01/10/2014,1002.748611,0,1.530722222,1.309465278,0.992340278,0.239694444,153.4777778,79.24930556,82.04444444,76.85208333,91.13055556,91.12013889,90.83125,27.17291667,27.04791667,28.25625,26.16041667,26.02013889,25.91388889,8.25178306,7.22089573,9.949545615,3.686207789,3.544179611,3.612587687,395.92225,16.54049306,208.0643472,36.29863768,-45.94802083,-7.826243055,172.6176528,158.6334653,0.976884377,NA,27.56041667,27.67800926,27.46365741,27.62986111,28.24583333,26.10972222,-1.775451892,115.9237775,6.438813958,NA,2014,10,1,haze_non_enzo,400.2453975,-29.81,NA,NA
214,02/10/2014,1002.56875,0,1.446270833,1.217895833,0.916423611,0.206305556,152.8215278,76.00347222,78.62361111,72.94166667,86.89791667,87.62986111,87.37777778,27.40972222,27.31944444,28.78888889,26.65625,26.35763889,26.22638889,10.1000714,9.09330282,12.62769546,5.676733306,5.10394026,5.125021709,459.2796319,19.18097222,237.8373333,40.36915942,-55.35877083,-9.934229166,204.2314722,167.9694444,0.947997973,NA,27.51828704,27.66574074,27.51712963,27.33587963,28.27523148,25.98819444,-2.717352667,148.209386,8.612627083,NA,2014,10,2,haze_non_enzo,NA,-36.39,NA,NA
215,03/10/2014,1001.900694,0,1.435194444,1.224416667,0.93275,0.197319444,166.7416667,78.52430556,81.00694444,75.18402778,88.55138889,88.93680556,88.64791667,27.30833333,27.24097222,28.64305555,26.64722222,26.4,26.27847222,8.680776217,7.752760847,11.05294314,4.695341051,4.373462179,4.432160129,399.6258819,16.58604167,214.008,37.53201449,-44.52051389,-8.3861875,177.1647708,166.22175,0.98063731,NA,27.5787037,27.67453704,27.53171296,27.05393519,28.10648148,25.89652778,-2.196758548,119.7755015,9.169666667,NA,2014,10,3,haze_non_enzo,404.6934338,-26.45,NA,NA
216,04/10/2014,1002.615972,0,1.661951389,1.420256944,1.101166667,0.183597222,195.4611111,78.42083333,80.65625,75.58402778,88.54375,88.32361111,88.09236111,27.02708333,27.02361111,28.29652778,26.52708333,26.32291667,26.18958333,8.457959141,7.686963727,10.55534096,4.674991586,4.543965145,4.571416345,366.9945764,15.8814375,195.3670764,34.20931915,-42.86989583,-7.252034722,162.431875,153.6470139,0.987096785,NA,27.50902778,27.70717593,27.56018519,26.75856481,27.97800926,25.76898148,-2.536331127,112.8028773,1.510863125,NA,2014,10,4,haze_non_enzo,407.0839395,-49.61,NA,NA
217,05/10/2014,1003.861111,0.1,0.942076389,0.821861111,0.636097222,0.148076389,195.025,82.83958333,85.14513889,78.55416667,93.65347222,92.61111111,92.16805556,25.63819444,25.64861111,27.24375,25.06666667,25.04236111,24.91666667,6.037361469,5.285932015,8.513822326,2.275167484,2.541159705,2.656648681,218.6320139,9.7288125,113.2268403,21.66262879,-28.24861806,-6.442138889,89.59868056,89.21922917,1.00003463,NA,27.48449074,27.69398148,27.56620371,26.54837963,27.83287037,25.675,-1.159004844,81.98655417,0.073505833,NA,2014,10,5,haze_non_enzo,404.3971147,NA,NA,NA
218,06/10/2014,1003.455556,0,1.118145833,0.948951389,0.732888889,0.111854167,253.3180556,80.90833333,83.51388889,77.8125,92.50833333,92.32708333,92.07569444,26.32638889,26.3,27.66180556,25.68888889,25.53958333,25.39097222,6.908278201,6.001212898,8.842087391,2.743039198,2.722229794,2.775749196,229.3850764,9.663236112,116.0068125,21.78614729,-30.97372222,-6.827444445,96.80318055,96.09104167,0.99957821,NA,27.26898148,27.58333333,27.56157408,26.38194444,27.70462963,25.61643519,0.537201473,65.5205925,-8.29914375,NA,2014,10,6,haze_non_enzo,406.1540747,-28.06,NA,NA
219,07/10/2014,1002.388889,0,1.687277778,1.410826389,1.049388889,0.252520833,154.0354167,74.04652778,76.59305555,71.48333333,84.70555556,85.47916667,85.32430556,27.47986111,27.41527778,28.68125,27.00486111,26.57152778,26.43194444,10.29939387,9.387745778,12.32027375,6.355268254,5.731320076,5.722388901,454.5142083,18.86432639,229.4260347,36.98247917,-45.10427083,-7.723263889,204.2708889,166.1975625,0.945593981,NA,27.32037037,27.51689815,27.52476852,26.20115741,27.55324074,25.57013889,-3.350710302,134.3133833,8.448441667,NA,2014,10,7,haze_non_enzo,NA,-29.16,NA,NA
220,08/10/2014,1002.447222,0,1.740451389,1.466784722,1.091326389,0.233048611,174.6388889,72.94652778,75.30972222,70.37083333,83.90902778,84.18125,84.11944444,27.70138889,27.64722222,28.91388889,27.19930556,26.80763889,26.65069444,11.37033316,10.48945713,13.53762628,7.2633908,6.634164623,6.554820422,461.1930972,17.94272222,234.9456042,37.39404861,-46.837625,-7.914472222,204.9448958,151.5477292,0.930830747,NA,27.45740741,27.59537037,27.49328704,26.04398148,27.40648148,25.49768519,-1.6026917,135.6515381,10.41080833,NA,2014,10,8,haze_non_enzo,NA,-25.56,NA,NA
221,09/10/2014,1002.65625,0,1.8808125,1.575631944,1.181201389,0.276722222,137.7597222,70.06458333,72.47361111,67.84097222,81.56597222,81.94097222,81.89861111,27.61041667,27.55347222,28.77777778,27.12638889,26.73958333,26.5875,11.89747047,10.99103872,13.78897111,7.518765843,7.015784842,6.9583861,426.4404306,18.01265278,219.9321806,36.57981944,-47.49184722,-7.763944445,189.691625,163.8190556,0.951487614,NA,27.53055556,27.65277778,27.48240741,25.88611111,27.25787037,25.40046296,-4.235368992,129.4095417,-0.87944375,NA,2014,10,9,haze_non_enzo,NA,-24.07,NA,NA
222,10/10/2014,1002.638889,0,1.464236111,1.254493056,0.960027778,0.243277778,166.5465278,75.73472222,78.04027778,72.74513889,85.72986111,86.02083333,85.68680556,27.14305556,27.07152778,28.34444444,26.71458333,26.35347222,26.23888889,9.559981515,8.749950709,11.74854285,5.935071736,5.516610468,5.568818429,340.8892569,16.68274306,192.5717847,35.37270833,-46.57359722,-7.030520833,150.7730347,149.9513542,0.998639513,NA,27.51574074,27.66828704,27.49375,25.71782407,27.11875,25.31388889,-1.429711617,107.8410583,4.838729167,NA,2014,10,10,haze_non_enzo,413.3658283,-55.82,NA,NA
