NA,Date,AirPressure_22m_hPa,AccumulatedPrecipitation_mm,WindSpeed_22m_ms,WindSpeed_16.3m_ms,WindSpeed_12.3m_ms,WindSpeed_2.3m_ms,WindDirection_22m_deg,AirHumidity_22m_percent,AirHumidity_16.3m_percent,AirHumidity_12.3m_percent,AirHumidity_8.1m_percent,AirHumidity_2.3m_percent,AirHumidity_0.9m_percent,AirTemperature_22m_degC,AirTemperature_16.3m_degC,AirTemperature_12.3m_degC,AirTemperature_8.1m_degC,AirTemperature_2.3m_degC,AirTemperature_0.9m_degC,VPD_22m_hPa,VPD_16.3m_hPa,VPD_12.3m_hPa,VPD_8.1m_hPa,VPD_2.3m_hPa,VPD_0.9m_hPa,PAR_incoming_22m_umol_m2_s1,PAR_reflected_22m_umol_m2_s1,ShortWaveRadiation_incoming_22m_Wm2,ShortWaveRadiation_reflected_22m_Wm2,LongWaveRadiation_downwelling_22m_Wm2,LongWaveRadiation_upwelling_22m_Wm2,GlobalRadiation_22m_Wm2,DiffuseRadiation_22m_Wm2,Fraction_of_DiffuseRadiation,SunshineDuration_minutes_per_12hours,SoilTemperature_30cm_degC,SoilTemperature_60cm_degC,SoilTemperature_100cm_degC,SoilMoisture_30cm_percent,SoilMoisture_60cm_percent,SoilMoisture_100cm_percent,NEE_umol_m2_s1,LatentHeatFlux_Wm2,SensibleHeatFlux_Wm2,GroundHeatFlux_Wm2,CO2_concentration,Year,Month,Day,season,ET_ET_pot
319,15/01/2015,1004.408333,NA,3.065666667,2.751666667,2.329958333,0.536083334,151.3375,71.39583333,67.80416667,72.62083333,76.27083333,77.90416667,77.6375,29.25833334,30.84583333,29.39583333,NA,29.24166667,29.2375,11.77187527,14.50915233,11.37138703,NA,9.125590072,9.251118025,1682.03675,55.22970833,753.17,112.4351667,-53.06958333,-13.155,780.8948333,296.2374583,0.392997302,22.1125,27.04444444,27.45694445,27.32638889,28.35416667,30.02777778,27.64722222,-21.29183516,381.68875,84.0355,36.45308334,387.1762107,2015,1,15,pre_drought_pre_enzo,0.484461409
320,16/01/2015,1004.55,NA,2.898916667,2.582291667,2.16475,0.50575,59.95000001,71.64166667,66.375,72.5125,76.2125,76.98333333,76.27083333,28.6125,30.53333333,28.8375,NA,28.7625,28.8125,11.33938759,15.00553387,11.15579668,NA,9.320184545,9.634645838,1585.715458,55.14154167,730.447625,110.636625,-51.18066667,-13.9335,734.7855417,434.809375,0.648055029,15.4,27.14722222,27.47361111,27.32638889,28.4,30.03194444,27.575,-22.54325761,351.7475,60.93675,31.61558334,393.1412428,2015,1,16,pre_drought_pre_enzo,0.485990841
321,17/01/2015,1004.529167,NA,3.371083333,2.996833333,2.532041667,0.597,82.95833334,60.4125,57.36666667,61.4375,64.69583333,66.0375,66,29.70833333,31.30416667,29.925,NA,30.00416667,29.97083333,16.71652003,19.66454743,16.48969928,NA,14.62667287,14.62778788,1878.8945,58.96670833,833.4667917,123.9743333,-71.57129167,-14.23391667,874.55375,189.9535,0.222760463,26.75,27.02361111,27.45972222,27.39861111,28.30694444,29.89861111,27.49722222,-18.02828275,426.575,70.135125,36.95725001,389.9612964,2015,1,17,pre_drought_pre_enzo,0.492539729
322,18/01/2015,1004.725,NA,2.989083333,2.690291667,2.285208333,0.521916667,86.07083333,70.1125,65.70416667,71.11666667,75.19583333,75.51666667,74.6875,28.49583333,30.15833333,28.66666667,NA,28.60416667,28.64166667,11.70603097,14.79519237,11.42909212,NA,9.650332457,9.995264168,1368.154125,49.31104167,635.7975,100.7835833,-45.02266667,-12.97625,634.0617084,386.9069583,0.636665712,16.1,26.90138889,27.40416667,27.39861111,28.15416667,29.78333333,27.4,-20.90049268,356.1375,44.8169625,28.70308334,388.4426958,2015,1,18,pre_drought_pre_enzo,0.580169131
323,19/01/2015,1005.404167,NA,2.365291667,2.114458333,1.777916667,0.422041667,75.14166667,72.02083334,65.97916667,72.93333333,77.3125,77.7,76.6875,28.72083333,30.85833333,28.92916667,NA,28.775,28.85833333,11.11502846,15.31669016,10.8873663,NA,8.879330969,9.320051802,1271.117625,47.21916667,586.085375,90.97279166,-46.53195833,-14.96016667,591.3572083,425.28825,0.745588856,13.2,26.90833333,27.33055555,27.37083334,28,29.67083333,27.31388889,-20.12739323,303.46875,34.25803625,30.26558334,381.7050725,2015,1,19,pre_drought_pre_enzo,0.547435321
324,20/01/2015,1007.1375,NA,2.945541667,2.599125,2.117666667,0.480375,30.8125,81.92083334,78.92916667,78.8375,86.29166667,84.48333333,82.70416667,26.25416667,27.2375,27.25833334,NA,26.61666667,26.80833333,6.17463165,7.65999101,7.754655098,NA,5.411339112,6.100000128,697.998125,29.93454167,334.5091667,53.84033333,-24.99129167,-7.73675,321.6687917,319.6589583,0.993189074,0,27.02638889,27.34861111,27.34305555,27.89722222,29.59027778,27.21111111,-15.02885779,186.40625,20.5355625,13.15308334,380.4765994,2015,1,20,pre_drought_pre_enzo,0.643471586
325,21/01/2015,1007.858333,NA,1.972708333,1.776333333,1.523791667,0.014833333,221.8916667,75.90416667,77.44166667,69.55,82.10416667,81.675,80.10833333,28.09583333,28.17083333,30.0625,NA,28.06666667,28.27083333,9.237820382,8.6772782,13.0627272,NA,7.000903624,7.691297422,1046.836083,43.26595834,491.958375,78.11454167,-44.04745833,-13.398625,486.0134583,457.7440417,0.945149783,0.15,26.70138889,27.24722222,27.30972222,27.8,29.50277778,27.16527778,-24.85014008,263.85625,31.3275,24.76558334,385.9196739,2015,1,21,pre_drought_pre_enzo,0.574726659
326,22/01/2015,1006.891667,NA,3.138833333,2.778291667,2.28625,0.438833333,26.85416667,76.40416667,77.08333333,70.33333334,81.14166667,79.675,78.16666667,28.0125,28.29166667,29.88333333,NA,28.37083333,28.5375,8.954766957,8.837617053,12.54396841,NA,7.866726574,8.533660241,1068.736667,43.108,501.6150417,79.851125,-39.130125,-11.19325,494.90975,426.3246667,0.882550205,5.9625,26.78055556,27.18333334,27.26111111,27.7,29.46944444,27.0875,-19.17616924,234.4325,34.2063325,22.83225001,385.6413682,2015,1,22,pre_drought_pre_enzo,0.48292867
327,23/01/2015,1005.183333,NA,2.773,2.465,2.08225,0.308125,171.0208333,75.2875,76.55416667,70.49583333,80.6125,79.05,77.54166667,27.72916667,27.85833333,29.3,NA,28.1125,28.29166667,9.238830179,8.829818484,12.0800631,NA,8.005442047,8.668593249,1156.585208,43.77133333,534.5824167,82.99425,-43.24533333,-10.71670833,534.9360417,396.4459167,0.781987404,12.7625,26.70694444,27.16805556,27.25833334,27.61666667,29.39166667,26.99861111,-21.50122128,284.7125,40.0516125,22.41141667,383.8004738,2015,1,23,pre_drought_pre_enzo,0.543597044
328,24/01/2015,1005.608333,NA,2.412166667,2.159291667,1.808375,0.460333333,124.85,76.47916667,77.05416667,68.6,79.8375,78.41666667,76.73333333,28.28333333,28.6,30.67083333,NA,29.025,29.22916667,9.099407652,9.049383848,13.95992885,NA,8.739751397,9.519547436,1343.09575,48.24408334,613.4424584,92.1445,-44.16691667,-13.772,625.7037917,393.73025,0.678846475,13.0875,26.69861111,27.06388889,27.22777778,27.5,29.3,26.91805556,-22.92316599,310.2575,97.896925,31.30725001,395.3379256,2015,1,24,pre_drought_pre_enzo,0.505568634
